img_idx,true_label,final_pred,success,queries,l2_norm,init_p,final_p
0,0,394,True,100.0,2.116483211517334,0.6391485,0.22395208
1,0,30,True,1923.0,7.297983646392822,0.90529543,0.28972343
2,0,391,True,103.0,2.3982908725738525,0.76952034,0.31544387
3,0,389,True,2460.0,7.9582977294921875,0.92439884,0.30104417
4,0,25,True,2183.0,8.633187294006348,0.9090063,0.35617793
5,0,758,True,1362.0,6.172784328460693,0.86287016,0.3171094
6,0,284,True,2405.0,6.887176513671875,0.917194,0.41565204
7,0,102,True,7077.0,11.716586112976074,0.9266656,0.25509802
8,0,328,True,4591.0,8.852582931518555,0.89751905,0.28223965
9,0,389,True,3182.0,9.633079528808594,0.91249585,0.32878983
10,0,133,True,0.0,0.0,0.00037340852,0.00037340852
11,0,616,True,3608.0,10.141718864440918,0.89153075,0.22119907
12,0,389,True,1213.0,6.2297892570495605,0.9156251,0.31354594
13,0,533,True,1565.0,5.932292938232422,0.91991085,0.44984138
14,0,58,True,4626.0,11.899073600769043,0.9156408,0.21609475
15,0,12,True,3332.0,7.826735496520996,0.92506695,0.374777
16,0,123,True,2906.0,8.951253890991211,0.9454514,0.3886842
17,0,139,True,4613.0,10.390047073364258,0.8973873,0.3363332
18,0,377,True,2062.0,5.531158447265625,0.874393,0.4062871
19,0,845,True,1513.0,5.350180149078369,0.92397606,0.37414712
20,0,515,True,3134.0,10.13952922821045,0.90039563,0.21855502
21,0,391,True,502.0,4.718282699584961,0.91335225,0.409992
22,0,337,True,5013.0,12.203216552734375,0.8930967,0.036944974
23,0,0,False,9837.0,3.8985300064086914,0.91849285,0.44068778
24,0,389,True,1813.0,6.862380027770996,0.8511523,0.1204224
25,0,672,True,3005.0,7.737065315246582,0.92566115,0.41742542
26,0,103,True,1568.0,5.098201751708984,0.87637204,0.23697059
27,0,251,True,1030.0,5.472469806671143,0.9198367,0.43294743
28,0,389,True,3839.0,9.509577751159668,0.91613483,0.1913556
29,0,103,True,746.0,4.93581485748291,0.8350317,0.21890874
30,0,755,True,3324.0,11.096165657043457,0.8732287,0.40692905
